"","qseqid","sseqid","pident","evalue","bitscore","slen","qgi","sgi","sacc","staxids","sscinames","scomnames","stitle","organism_name_taxdb","genus","family","superfamily","order","class","phylum"
"10","tr|I6XGD8|DosR","WP_087494744.1_GCF_002163715.1_ASM216371v1","33.333","6.340000e-06","41.2","124","0","0","WP_087494744.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"11","tr|I6XGD8|DosR","WP_087496989.1_GCF_002163715.1_ASM216371v1","30.435","6.360000e-06","43.1","514","0","0","WP_087496989.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","nitrogen regulation protein NR(I) [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"12","tr|I6XGD8|DosR","WP_157673178.1_GCF_002163715.1_ASM216371v1","27.108","7.080000e-06","42.4","205","0","0","WP_157673178.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"13","tr|I6XGD8|DosR","WP_087493644.1_GCF_002163715.1_ASM216371v1","35.385","7.330000e-06","42.0","177","0","0","WP_087493644.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"14","tr|I6XGD8|DosR","WP_087497238.1_GCF_002163715.1_ASM216371v1","36.765","1.900000e-05","41.6","330","0","0","WP_087497238.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"15","tr|I6XGD8|DosR","WP_087497238.1_GCF_002163715.1_ASM216371v1","34.524","2.200000e-04","38.1","330","0","0","WP_087497238.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"16","tr|I6XGD8|DosR","WP_232460039.1_GCF_002163715.1_ASM216371v1","34.848","2.360000e-05","38.9","98","0","0","WP_232460039.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"17","tr|I6XGD8|DosR","WP_087495694.1_GCF_002163715.1_ASM216371v1","30.252","3.940000e-05","40.0","244","0","0","WP_087495694.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","two-component system response regulator CreB [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"18","tr|I6XGD8|DosR","WP_087495595.1_GCF_002163715.1_ASM216371v1","32.308","5.310000e-05","40.4","785","0","0","WP_087495595.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"19","tr|I6XGD8|DosR","WP_087494678.1_GCF_002163715.1_ASM216371v1","26.712","5.930000e-05","40.0","455","0","0","WP_087494678.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","sigma-54 dependent transcriptional regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"20","tr|I6XGD8|DosR","WP_087495080.1_GCF_002163715.1_ASM216371v1","31.250","7.300000e-05","39.3","233","0","0","WP_087495080.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"21","tr|I6XGD8|DosR","WP_087495892.1_GCF_002163715.1_ASM216371v1","32.836","2.120000e-04","38.1","239","0","0","WP_087495892.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"22","tr|I6XGD8|DosR","WP_087494753.1_GCF_002163715.1_ASM216371v1","29.412","2.170000e-04","37.0","135","0","0","WP_087494753.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"23","tr|I6XGD8|DosR","WP_087493745.1_GCF_002163715.1_ASM216371v1","33.333","4.690000e-04","37.0","228","0","0","WP_087493745.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"24","tr|I6XGD8|DosR","WP_198301808.1_GCF_002163715.1_ASM216371v1","27.119","4.830000e-04","37.4","859","0","0","WP_198301808.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","EAL domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"25","tr|I6XGD8|DosR","WP_087493530.1_GCF_002163715.1_ASM216371v1","26.316","7.040000e-04","36.6","356","0","0","WP_087493530.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"26","tr|I6XGD8|DosR","WP_087495279.1_GCF_002163715.1_ASM216371v1","26.667","1.000000e-03","35.8","223","0","0","WP_087495279.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"27","tr|I6XGD8|DosR","WP_087496564.1_GCF_002163715.1_ASM216371v1","35.294","1.000000e-03","36.2","267","0","0","WP_087496564.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","transcriptional regulator EpsA [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"28","sp|P25084|LASR_PSEAE","WP_087495460.1_GCF_002163715.1_ASM216371v1","29.187","3.740000e-23","90.9","237","0","0","WP_087495460.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","autoinducer binding domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"29","sp|P25084|LASR_PSEAE","WP_087496729.1_GCF_002163715.1_ASM216371v1","29.493","1.180000e-21","87.0","237","0","0","WP_087496729.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","autoinducer binding domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"30","sp|P25084|LASR_PSEAE","WP_087496564.1_GCF_002163715.1_ASM216371v1","36.765","3.900000e-07","46.6","267","0","0","WP_087496564.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","transcriptional regulator EpsA [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"31","sp|P25084|LASR_PSEAE","WP_087497238.1_GCF_002163715.1_ASM216371v1","42.105","1.850000e-06","44.7","330","0","0","WP_087497238.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"32","sp|P25084|LASR_PSEAE","WP_157673178.1_GCF_002163715.1_ASM216371v1","37.500","3.980000e-04","37.4","205","0","0","WP_157673178.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"33","tr|Q92L12|Q92L12_RHIME","WP_087495460.1_GCF_002163715.1_ASM216371v1","28.177","7.750000e-14","64.3","237","0","0","WP_087495460.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","autoinducer binding domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"34","tr|Q92L12|Q92L12_RHIME","WP_087496729.1_GCF_002163715.1_ASM216371v1","27.273","2.040000e-13","63.2","237","0","0","WP_087496729.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","autoinducer binding domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"35","tr|Q92L12|Q92L12_RHIME","WP_087494345.1_GCF_002163715.1_ASM216371v1","41.071","5.790000e-06","41.6","184","0","0","WP_087494345.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","PAS and helix-turn-helix domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"36","tr|Q92L12|Q92L12_RHIME","WP_087496564.1_GCF_002163715.1_ASM216371v1","40.385","2.910000e-05","40.0","267","0","0","WP_087496564.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","transcriptional regulator EpsA [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"37","tr|Q92L12|Q92L12_RHIME","WP_232460039.1_GCF_002163715.1_ASM216371v1","32.203","1.130000e-04","37.0","98","0","0","WP_232460039.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"38","sp|Q87KN2|LEXA_VIBPA","WP_087494241.1_GCF_002163715.1_ASM216371v1","55.455","2.010000e-76","226.0","224","0","0","WP_087494241.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","transcriptional repressor LexA [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"39","sp|Q87KN2|LEXA_VIBPA","WP_087493559.1_GCF_002163715.1_ASM216371v1","40.659","9.440000e-14","63.2","147","0","0","WP_087493559.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","translesion error-prone DNA polymerase V autoproteolytic subunit [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"40","sp|Q87KN2|LEXA_VIBPA","WP_087496130.1_GCF_002163715.1_ASM216371v1","39.560","1.680000e-13","62.4","147","0","0","WP_087496130.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","translesion error-prone DNA polymerase V autoproteolytic subunit [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"41","tr|A0A0H2ZQ65|A0A0H2ZQ65_STRP2","WP_087495599.1_GCF_002163715.1_ASM216371v1","32.143","1.700000e-43","150.0","343","0","0","WP_087495599.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","substrate-binding domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"42","tr|A0A0H2ZQ65|A0A0H2ZQ65_STRP2","WP_087495752.1_GCF_002163715.1_ASM216371v1","30.514","3.450000e-43","149.0","339","0","0","WP_087495752.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","LacI family transcriptional regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"43","tr|A0A0H2ZQ65|A0A0H2ZQ65_STRP2","WP_087494508.1_GCF_002163715.1_ASM216371v1","29.254","2.020000e-32","120.0","340","0","0","WP_087494508.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","LacI family DNA-binding transcriptional regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"44","tr|A0A0H2ZQ65|A0A0H2ZQ65_STRP2","WP_087495120.1_GCF_002163715.1_ASM216371v1","30.249","1.160000e-21","90.9","337","0","0","WP_087495120.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","substrate-binding domain-containing protein [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"45","tr|A0A0H2ZQ65|A0A0H2ZQ65_STRP2","WP_087494311.1_GCF_002163715.1_ASM216371v1","23.952","7.130000e-19","83.2","349","0","0","WP_087494311.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","LacI family DNA-binding transcriptional regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
